,Date,user_id,comments
0,"March 23, 2007 3:58PM",brightness04,"Well, E30 would very much be a boyracer compared to E46 and E90. 200hp was about what most E36 and E46 had (some as low as 168hp), much more than what typical E30 had. Pedigree, well, that's for pets :-)"
1,"March 23, 2007 4:14PM",brightness04,"I have shared that conventional wisdom with you for much of my driving life. All my cars, excepting one, were paid with cash. That view is being severely challenged in recent years in the face of vendor financing. Blueguy has it well covered from the financial perspective. I just want to point out also that, after a model cycle (or even less), whatever we buy today would be either a boyracer or a family car by the standards of that time, not really ELLPS so even if had cost less it would be an apples-to-oranges comparison. Thankfully, we don't even have to choose between money and being to date nowadays; a bit odd, yes."
2,"March 23, 2007 4:23PM",kdshapiro,"I agree. See a lot of Porsches, Ferraris, Maserati in Manhattan also. Lot of poseurs out there driving very expensive and sport cars in 5 mph traffic. Shame on those poseurs, giving these high-brow brands a bad name."
3,"March 23, 2007 4:55PM",bruceomega,"hauss,

Yes, I like that, each to his own!

I will say that my previous car, an 01 3 series, was a much more snug fit than my current car.

Bruce"
4,"March 23, 2007 5:35PM",mariner7,"See a lot of Porsches, Ferraris, Maserati in Manhattan also. Lot of poseurs out there driving very expensive and sport cars in 5 mph traffic.

Who's kidding whom? That's exactly what Porsche, Ferrari et al want! That's how they sell so many cars and make so much money! That's one main reason why Ferrari is in Formula 1, to sell sex appeal.

If every Ferrari driver has to pass a Michael Schumacher test, Ferrari would be a fraction of its current size. BMW knows most M5 drivers can't be trusted to use even half its full power, and yet every new M5 has even more power!"
5,"March 23, 2007 6:42PM",kdshapiro,"My friend, I believe these generalizations can be applied to most any high-brow performance brand, even Infiniti and Lexus. So I'm not sure of the point except people buy the cars they buy for their own reasons."
6,"March 24, 2007 11:37AM",circlew,"Interesting Edmunds track test indicates the bar has been raised as expected. The limp-home thing was also a good sign that the Germans have more work to do on the turbo performance/reliability.

We will see coming feedback on this comparo but I personally expected improvements in the G and the weight factor still hinders performance as some of the more intuitive posters here have noted. The '08 coupe weighs in at 3,571# vs. 3,682# 335 coupe and the 9/10 test shows G on top for the out of the corner acceleration/control for this test. 0-60 was not compared here.

It looks like Infinity has done a commendable job keeping their offering razor close to expected competition at the top of the sister to this category with their coupe.

Regards,
OW"
7,"March 24, 2007 12:17PM",victord1,"It looks like Infinity has done a commendable job keeping their offering razor close to expected competition at the top of the sister to this category with their coupe.

Yeah, I certainly hope so. And they definitely have to polish out the rough edges. In the April C&D comparo the G35 lost to the 328i due to the lack of ""refinement"". IMO, that's quite pathetic, considering C&D favored the G35 over the 325i a few years ago.

I also read Edmunds preview of the G37 coupe. I thought the 335i ""limp mode"" part was funny. Looked like the ""Ultimate Driving Machine"" was reduced to the ""Ultimate Crawling Machine"". :sick: On the plus side, it's better to be crawling than not moving at all."
8,"March 24, 2007 8:58PM",1487,"""But you have got to be kidding yourself if you think that the likes of Lexus, Infiniti, Cadillac, and Audi didn't build their respective cars for the sole purpose of competing (sales and performance) with the 3 series.""

If the sole mission of the cars in this class was to mimic the 3 these cars would be just like the 3. While good handling is a geneal goal shared by these vehicles, I wouldnt say they are all designed to be clones of the 3 series. If that is the case the CTS would be smaller, the A4 wouldnt offer FWD, the TL would be smaller and RWD, etc. The 3 series competitors try to offer their interpretation of a sports sedan and to BMW loyalists any car that doesn't replicate the 3 exactly is a joke."
9,"March 26, 2007 6:03PM",andres3,"Maybe there is a RWD Audi in the future some time some day?

If not, they could make a higher aluminum content/lighter weighted frame and structure/body Audi A3 and offset the added weight of Quattro thereby making the 2.0T a great choice w/ AWD."
